"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription"
"S3","MEX","074","Mexico","WLD"," World",2007,"Import",5,16664.277,"Tea and mate"
"S3","MEX","075","Mexico","WLD"," World",1993,"Export",6,10432,"Spices"
"S3","MEX","075","Mexico","WLD"," World",1993,"Import",5,34928,"Spices"
"S3","MEX","075","Mexico","WLD"," World",2007,"Export",6,31144.837,"Spices"
"S3","MEX","075","Mexico","WLD"," World",2007,"Import",5,116676.98,"Spices"
"S3","MEX","081","Mexico","WLD"," World",1993,"Export",6,5694,"Animal feed ex unml cer."
"S3","MEX","081","Mexico","WLD"," World",1993,"Import",5,257712,"Animal feed ex unml cer."
"S3","MEX","081","Mexico","WLD"," World",2007,"Export",6,101395.506,"Animal feed ex unml cer."
"S3","MEX","081","Mexico","WLD"," World",2007,"Import",5,936823.832,"Animal feed ex unml cer."
"S3","MEX","091","Mexico","WLD"," World",1993,"Export",6,387,"Margarine/shortening"
"S3","MEX","091","Mexico","WLD"," World",1993,"Import",5,14753,"Margarine/shortening"
"S3","MEX","091","Mexico","WLD"," World",2007,"Export",6,1300.044,"Margarine/shortening"
"S3","MEX","091","Mexico","WLD"," World",2007,"Import",5,53885.432,"Margarine/shortening"
"S3","MEX","098","Mexico","WLD"," World",1993,"Export",6,86332,"Edible products n.e.s."
"S3","MEX","098","Mexico","WLD"," World",1993,"Import",5,235572,"Edible products n.e.s."
"S3","MEX","098","Mexico","WLD"," World",2007,"Export",6,693068.904,"Edible products n.e.s."
"S3","MEX","098","Mexico","WLD"," World",2007,"Import",5,1222370.404,"Edible products n.e.s."
"S3","MEX","111","Mexico","WLD"," World",1993,"Export",6,21954,"Beverage non-alcohol nes"
"S3","MEX","111","Mexico","WLD"," World",1993,"Import",5,85175,"Beverage non-alcohol nes"
"S3","MEX","111","Mexico","WLD"," World",2007,"Export",6,307993.345,"Beverage non-alcohol nes"
"S3","MEX","111","Mexico","WLD"," World",2007,"Import",5,114075.096,"Beverage non-alcohol nes"
"S3","MEX","112","Mexico","WLD"," World",1993,"Export",6,275444,"Alcoholic beverages"
"S3","MEX","112","Mexico","WLD"," World",1993,"Import",5,180968.992,"Alcoholic beverages"
"S3","MEX","112","Mexico","WLD"," World",2007,"Export",6,2605568.238,"Alcoholic beverages"
"S3","MEX","112","Mexico","WLD"," World",2007,"Import",5,479721.085,"Alcoholic beverages"
"S3","MEX","121","Mexico","WLD"," World",1993,"Export",6,39762,"Tobacco, raw and wastes"
"S3","MEX","121","Mexico","WLD"," World",1993,"Import",5,39976,"Tobacco, raw and wastes"
"S3","MEX","121","Mexico","WLD"," World",2007,"Export",6,27817.587,"Tobacco, raw and wastes"
"S3","MEX","121","Mexico","WLD"," World",2007,"Import",5,144102.789,"Tobacco, raw and wastes"
"S3","MEX","122","Mexico","WLD"," World",1993,"Export",6,40212,"Tobacco, manufactured"
"S3","MEX","122","Mexico","WLD"," World",1993,"Import",5,799,"Tobacco, manufactured"
"S3","MEX","122","Mexico","WLD"," World",2007,"Export",6,304003.308,"Tobacco, manufactured"
"S3","MEX","122","Mexico","WLD"," World",2007,"Import",5,69334.933,"Tobacco, manufactured"
"S3","MEX","211","Mexico","WLD"," World",1993,"Export",6,17166,"Hide/skin (ex fur) raw"
"S3","MEX","211","Mexico","WLD"," World",1993,"Import",5,117768,"Hide/skin (ex fur) raw"
"S3","MEX","211","Mexico","WLD"," World",2007,"Export",6,43520.352,"Hide/skin (ex fur) raw"
"S3","MEX","211","Mexico","WLD"," World",2007,"Import",5,153284.08,"Hide/skin (ex fur) raw"
"S3","MEX","212","Mexico","WLD"," World",1993,"Export",6,97,"Furskins/pieces, raw"
"S3","MEX","212","Mexico","WLD"," World",1993,"Import",5,33,"Furskins/pieces, raw"
"S3","MEX","212","Mexico","WLD"," World",2007,"Export",6,80.429,"Furskins/pieces, raw"
"S3","MEX","212","Mexico","WLD"," World",2007,"Import",5,19.757,"Furskins/pieces, raw"
"S3","MEX","222","Mexico","WLD"," World",1993,"Export",6,21843,"Oil seeds etc - soft oil"
"S3","MEX","222","Mexico","WLD"," World",1993,"Import",5,707710.016,"Oil seeds etc - soft oil"
"S3","MEX","222","Mexico","WLD"," World",2007,"Export",6,17061.575,"Oil seeds etc - soft oil"
"S3","MEX","222","Mexico","WLD"," World",2007,"Import",5,1870818.522,"Oil seeds etc - soft oil"
"S3","MEX","223","Mexico","WLD"," World",1993,"Export",6,1830,"Oil seeds-not soft oil"
"S3","MEX","223","Mexico","WLD"," World",1993,"Import",5,8699,"Oil seeds-not soft oil"
